UF,StateName,ObjectName,Capital,date,win1R>50%,win2R,%1RoundVote17,%2RoundVote17,birthsJan-May-21,birthsJan-May-19,DifnubirthJan-May-21/19,%VarNuBirthJan-May-21/19,AnnualBirthRate21*,AnnBirthRate19,Births2020,%varAnnualPopGrw21vs19,AnPopGrowthRate21*,AnPopGrowthRate20,AnnualPopGrw19,ExcessDeaths21Jan-May,ExcessDeaths20,ExcessMortalityRt21,P-score21vs15-19Jan-May,P-scoreJan21vs15to19,P-scoreFev21vs15to19,P-scoreMar21vs15to19,P-scoreAbr21vs15to19,P-scoreMay21vs15to20,Births2019,Births20202,Births2021,DeathsJan-21,DeathsFev-21,DeathsMar-21,DeathsAbr-21,DeathsMay-21,Deaths2021jantomay,Deaths15-19Jan-MayAvg,Deaths19jantomay,Deaths18Jan-May,Deaths17Jan-May,Deaths16Jan-May,Deaths15Jan-May,Deaths2015,Deaths2016,Deaths2017,Deaths2018,Deaths2019,Deaths2020,Deaths2021*,AvgJan15to19Deaths,AvgFev15to19Deaths,AvgMar15to19Deaths,AvgAbr15to19Deaths,Avg15to19MayDeaths,MortalityRate/19,MortalityRate/20,MortalityRate/21,MortRatejaneiro-21/100000,MortRatefev-21/100000,MortRateMar-21/100000,MortRateAbr-21/100000,MortalRatemaio-21/100000,CasesCOVID21Jan-May,CasesCOVID20/21,ExcessDeaths2020,ExcessDeaths21Jan-May2,DeathsCOVID21Jan-May,COVIDvsExcessratio2020,DeathsCOVID20,ExcessDeathsCOVIDratio21,DeathsCOVID20/21,MORTALITYCOVID,FATALITYRATECOVID,pop/IBGE20,%pop>70a,pop>70a2019,DemgDens20/km2,canvoted18,%NotVoted18,voted18,17in1T,%1RoundVote17/2018,Ufnome,P-score21vs15-19,ExcessMortalityRate16,ExcessMortalityRate17,ExcessMortalityRate18,ExcessMortalityRate192,ExcessMortalityRate20,ExcessMortalityRate21*,IBGEpop2015,IBGEpop2016,IBGEpop2017,IBGEpop2018,IBGEpop2019,IBGEpop20,IBGEpop2021,%varAnnualPopGrw21vs192,DeathsCOVID/100mil,%votes17,%excessdeaths21Jan-May,%COVIDDeaths,%BRApop,%COVIDCases,VAR%COVIDdeath%/BRApop%,unidpoparea,Aumentorisco21vs15to19,nDFdec
AC,Acre,state,Rio Branco,6/1/2021,true,true,"0,6223842875","0,77",4991,5685,-694,"-0,122076","1,673952173","1,906715709",14813,"-0,6313549","0,8707","1,1412","1,502038132",#ERROR!,1351,"357,8101709","0,9619","0,41740312712","0,94667640614","1,48620478234","1,00506008855","0,43939393939",16912,14813,14973,419,535,817,643,437,2851,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,3113,3297,3401,3511,3665,4748,6842,294,274,326,316,304,"439,7017228","530,8171319","759,5155901","59,07","89,89","70,27","71,27","48,43",36186,78016,1351,1337,736,"0,5901081",797,#ERROR!,1533,"173,8223338","0,01964981542",881935,"0,037348676",66377,"4,47",547608,"0,23",421778,262508,"0,62",AC- Acre-1T-2T,"1,45489955","22,53005129","12,53587490","12,65436892","17,46160431","121,4125561",#ERROR!,803513,816687,829619,869265,881935,894470,900890,"-0,1293","171,3864076","0,005339511","0,0046536898","0,00376297","0,004224066","0,005369569","-0,000461096","164173,431",#ERROR!,"285,0233177"
AL,Alagoas,state,Maceió,6/1/2021,false,false,"0,3440380115","0,4",14926,16599,-1673,"-0,100789","1,33604134","1,48579326",45000,"-0,3258643","0,6689","0,7226","0,8925326239",#ERROR!,4116,"185,1096461","0,3733","0,33820564516","0,40107430618","0,64247921391","0,62207613515","0,25000000000",47121,45000,44763,1593,1567,2180,2140,1862,9342,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,16313,17112,16869,16237,17334,20889,22421,1190,1117,1323,1308,1490,"498,3973054","623,2651647","665,6424096","46,38","64,40","62,89","63,43","55,13",69066,174476,4116,2914,1744,"0,6064140",2496,#ERROR!,4240,"127,0636226","0,02430133657",3336911,"0,051192605",170848,"112,33",2187948,"0,3",1535746,528355,"0,34",AL- Alagoas-N1T-N2T,"0,63478833","23,78710334","-7,19824469","-19,01998905","32,87471557","105,7713993",#ERROR!,3340932,3358963,3375823,3322820,3337357,3351543,3368295,"-0,3311","126,5088946","0,010746939","0,0080017757","0,010407692","0,015827405","0,012008574","-0,005419713","27830,656",#ERROR!,"48,31711111"
AP,Amapá,state,Macapá,6/1/2021,false,true,"0,4073999956","0,5",4969,5234,-265,"-0,050630","1,729805877","1,822057549",12091,"-0,1441329","1,2699","1,0423","1,580171473",#ERROR!,1089,"187,9102534","0,7944","0,76020408163","0,29779837775","0,55737704918","1,18654434251","0,79439252336",15773,12091,14907,345,224,323,429,384,1705,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,2124,2069,2053,2280,2409,3276,4092,196,173,207,196,214,"365,8736117","380,1465119","469,5002668","25,67","37,01","49,16","49,16","44,00",37675,105971,1089,719,619,"0,8549128",931,#ERROR!,1550,"183,2734049","0,01462664314",845731,"0,027768877",23485,"6,04",512119,"0,2",409757,166935,"0,41",AP- Amapá-N1T-2T,"1,07573853","-7,03059587","-2,00571126","27,36608101","15,25307692","101,457382",#ERROR!,766679,782295,797722,829494,845731,861773,871565,"0,2699","179,8617501","0,003395521","0,0021852239","0,003804699","0,004069657","0,007293614","-0,000264958","142470,762",#ERROR!,"247,3450729"
AM,Amazonas,state,Manaus,6/1/2021,false,true,"0,4347787619","0,5",22575,18355,4220,"0,229910","1,609543805","1,308667842",57683,"-0,2276224","0,7527","0,9257","0,9879850803",#ERROR!,5056,"475,239445","1,2965","3,62251042149","3,55015268969","1,43858954041","0,73120262241","0,13961442786",56128,57683,67647,4111,4012,2520,1717,1466,13826,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,13744,13633,14079,14671,15180,19317,33182,864,851,1010,976,1286,"351,1407857","459,0853846","783,7200201","91,38","58,07","39,86","40,50","34,46",168912,371306,5056,8839,7327,"1,0507160",5312,#ERROR!,12639,"304,9512413","0,0340393099",4144597,"0,031481227",130477,"2,69",2428842,"0,24",1853591,805902,"0,43",AM- Amazonas-N1T-2T,"2,00134858","-2,77384400","10,97545190","14,50763133","12,28104928","98,90118559",#ERROR!,3938336,4001667,4063614,4080611,4144597,4207714,4233961,"-0,2473","300,3768792","0,01639235","0,0272256176","0,031024249","0,019870606","0,025555695","0,011153643","1559167,878",#ERROR!,"2706,888677"
BA,Bahia,state,Salvador,6/1/2021,false,false,"0,2341222046","0,27",59361,67368,-8007,"-0,118855","1,192735687","1,353619679",181136,"-0,4151288","0,4872","0,5931","0,789622098",#ERROR!,21790,"228,4691001","0,5198","0,53121991228","0,48913169376","0,67323294715","0,52792266500","0,43742678641",191660,181136,178041,8639,7754,10055,8873,8835,44156,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,70411,69522,70953,70538,74219,92919,105974,5609,5180,5990,5752,6146,"524,2845012","622,3379396","707,6164399","51,42","66,80","58,57","59,14","58,66",408147,905113,21790,15479,9405,"0,4202768",9158,#ERROR!,18563,"124,8112501","0,02050904141",14872858,"0,063242651",940612,"24,82",10392015,"0,29",7368545,1725140,"0,23",BA- Bahia-N1T-N2T,"0,79109579","-5,81937066","9,32584928","-2,80166563","24,74978246","124,9910184",#ERROR!,15203334,15276566,15344447,14812617,14873064,14930634,14976249,"-0,5128","124,328277","0,035089996","0,0456931509","0,045565562","0,070508773","0,062295766","-0,024943211","564760,427",#ERROR!,"980,4868524"
CE,Ceará,state,Fortaleza,6/1/2021,false,false,"0,2174264957","0,29",36462,38333,-1871,"-0,048809","1,190647367","1,251743885",111137,"-0,4831579","0,4064","0,6053","0,7263188072",#ERROR!,9474,"292,0867425","0,5073","0,22371765250","0,34803322746","0,82811455602","1,04467779484","0,54609209191",113935,111137,109221,4238,4416,7114,8263,6702,30733,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,44953,45283,48013,46069,47607,55859,73759,3462,3274,3890,4038,4335,"473,6857745","608,0153885","801,3567586","47,85","77,09","89,50","89,58","72,44",342829,677403,9474,11734,8008,"1,0555204",10000,#ERROR!,18008,"197,1781451","0,02658387991",9132858,"0,063441968",579357,"56,76",6343897,"0,23",4880155,1061075,"0,22",CE- Ceará-N1T-N2T,"0,78415962","3,68153064","30,26453196","-21,41995575","16,84029249","89,81146992",#ERROR!,8904459,8963663,9020460,9075649,9132078,9187103,9204290,"-0,5936","196,0139121","0,021582664","0,0298076794","0,044203235","0,043385389","0,046623282","0,000817846","148894,442",#ERROR!,"258,4972951"
DF,Distrito Federal,state,Brasília,6/1/2021,true,true,"0,583661002","0,7",16542,19470,-2928,"-0,150385","1,624339762","1,911854381",50075,"-0,4339573","0,8277","1,0527","1,457051247",#ERROR!,7007,"389,3844342","1,1916","0,44357743097","0,48850823938","1,33948339483","1,56980640357","1,06412620365",55977,50075,49611,1443,1373,2541,2811,2015,10183,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,11012,11057,11470,11185,12043,18360,24439,1000,922,1084,1074,976,"469,5679327","600,9526868","794,9708317","44,57","82,33","89,63","91,25","65,41",127643,379752,7007,5126,3565,"0,6094254",4270,#ERROR!,7835,"260,064168","0,02063188607",3012718,"0,046257248",139478,"444,66",2085825,"0,23",1604517,936494,"0,58",DF- Distrito Federal-1T-2T,"1,59383592","1,51147918","13,58801149","-9,58078840","28,47926689","207,4934807",#ERROR!,2914830,2977216,3039444,2974703,3015268,3055149,3074226,"-0,1723","256,452304","0,01904864","0,0166014238","0,019232138","0,014427707","0,026137004","0,004804431",5760,#ERROR!,10
ES,Espírito Santo,state,Vitória,6/1/2021,true,true,"0,5476085671","0,63",17948,19469,-1521,"-0,078124","1,324884623","1,437161729",54167,"-0,5448896","0,3881","0,6190","0,8278153111",#ERROR!,7956,"402,3388296","0,8358","0,57130233072","0,48191293685","0,76886537839","1,32735426009","0,68973167124",56121,54167,53844,2845,2417,3277,4153,3199,15891,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,19577,20781,21826,21646,22854,29293,38138,1811,1631,1853,1784,1893,"594,0130687","720,7831002","937,0100852","59,24","80,32","101,77","101,79","78,29",188892,437862,7956,6920,4494,"0,6405068",5096,#ERROR!,9590,"238,6373533","0,02190187776",4018650,"0,057559844",159958,"76,25",2754739,"0,26",2049148,1122131,"0,55",ES- Espírito Santo-1T-2T,"1,20475314","30,29924023","26,01860990","-4,53127942","30,05984597","159,2422847",#ERROR!,3929911,3973697,4016356,3972388,4018650,4064052,4070223,"-0,6119","235,9713901","0,022824566","0,0221608905","0,023540039","0,019192174","0,030136512","0,004347865","46074,447",#ERROR!,"79,99035938"
GO,Goiás,state,Goiânia,6/1/2021,true,true,"0,5723757339","0,66",26801,29594,-2793,"-0,094377","1,130281126","1,248070581",81059,"-0,6384068","0,2869","0,5357","0,6823109806",#ERROR!,10460,"378,3763285","0,8251","0,33078422552","0,52688351869","1,45563636364","1,08572020153","0,63982179575",83195,81059,80121,3609,3696,6823,6153,4785,25066,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,32666,31594,32598,32786,35308,43450,60158,2668,2392,2750,2898,2918,"476,1764185","610,8069962","845,0703038","51,19","94,66","84,72","86,25","66,84",244624,553051,10460,11441,8331,"0,6505985",6805,#ERROR!,15136,"215,5847737","0,02736818123",7020904,"0,052397328",367743,"17,65",4454402,"0,27",3264789,1868686,"0,57",GO- Goiás-1T-2T,"1,15957929","-16,00990464","14,81094216","2,71630728","35,92130016","115,3500744",#ERROR!,6610681,6695855,6778772,6921161,7018354,7113540,7118745,"-0,7131","212,7773232","0,038009776","0,0343485208","0,037153496","0,033593147","0,038064568","0,003560349","340242,854",#ERROR!,"590,6993993"
MA,Maranhão,state,São Luís,6/1/2021,false,false,"0,2428103126","0,27",30250,33195,-2945,"-0,088718","1,275546419","1,399727715",92232,"-0,2654568","0,8018","0,8852","1,101936473",#ERROR!,6506,"175,181161","0,4247","0,55703241557","0,69916855631","1,08701056557","0,96544403821","0,40716612378",102138,92232,90738,2339,2287,3386,3372,3024,14408,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,22003,22477,23402,23432,24174,29604,34579,1475,1323,1609,1696,2149,"314,4380048","416,1022169","482,8064971","31,35","46,82","46,47","47,02","41,62",66828,267548,6506,6157,2810,"0,6923952",4505,#ERROR!,7315,"103,3895811","0,02734088836",7075181,"0,04949513",350187,"19,81",4536954,"0,26",3366871,817511,"0,24",MA- Maranhão-N1T-N2T,"0,67897065","6,81618559","13,21385343","0,42643590","10,48736421","76,07376437",#ERROR!,6904241,6954036,7000229,7035055,7075181,7114598,7162124,"-0,1982","102,8167719","0,016628481","0,0123243936","0,017955723","0,033598143","0,018414394","-0,01564242","329651,495",#ERROR!,"572,3116233"
